time,x=0.000000,x=0.100000,x=0.200000,x=0.300000,x=0.400000,x=0.500000,x=0.600000,x=0.700000,x=0.800000,x=0.900000,x=1.000000,x=1.100000,x=1.200000,x=1.300000,x=1.400000,x=1.500000,x=1.600000,x=1.700000,x=1.800000,x=1.900000,x=2.000000,x=2.100000,x=2.200000,x=2.300000,x=2.400000,x=2.500000,x=2.600000,x=2.700000,x=2.800000,x=2.900000,x=3.000000,x=3.100000,x=3.200000,x=3.300000,x=3.400000,x=3.500000,x=3.600000,x=3.700000,x=3.800000,x=3.900000,x=4.000000,x=4.100000,x=4.200000,x=4.300000,x=4.400000,x=4.500000,x=4.600000,x=4.700000,x=4.800000,x=4.900000,x=5.000000,x=5.100000,x=5.200000,x=5.300000,x=5.400000,x=5.500000,x=5.600000,x=5.700000,x=5.800000,x=5.900000,x=6.000000,x=6.100000,x=6.200000
0.00000000,0.00000000,0.09983342,0.19866933,0.29552021,0.38941834,0.47942554,0.56464247,0.64421769,0.71735609,0.78332691,0.84147098,0.89120736,0.93203909,0.96355819,0.98544973,0.99749499,0.99957360,0.99166481,0.97384763,0.94630009,0.90929743,0.86320937,0.80849640,0.74570521,0.67546318,0.59847214,0.51550137,0.42737988,0.33498815,0.23924933,0.14112001,0.04158066,-0.05837414,-0.15774569,-0.25554110,-0.35078323,-0.44252044,-0.52983614,-0.61185789,-0.68776616,-0.75680250,-0.81827711,-0.87157577,-0.91616594,-0.95160207,-0.97753012,-0.99369100,-0.99992326,-0.99616461,-0.98245261,-0.95892427,-0.92581468,-0.88345466,-0.83226744,-0.77276449,-0.70554033,-0.63126664,-0.55068554,-0.46460218,-0.37387666,-0.27941550,-0.18216250,-0.08308940
0.05000000,0.00247748,0.10469208,0.20833812,0.30990251,0.40837046,0.50275810,0.59212235,0.67557031,0.75226820,0.82144967,0.88242348,0.93458042,0.97739933,1.01045239,1.03340935,1.04604082,1.04822060,1.03992691,1.02124260,0.99235438,0.95355089,0.90521982,0.84784410,0.78199701,0.70833645,0.62759844,0.54058966,0.44817950,0.35129127,0.25089306,0.14798800,0.04360430,-0.06121508,-0.16542282,-0.26797771,-0.36785506,-0.46405692,-0.55562207,-0.64163564,-0.72123819,-0.79363437,-0.85810082,-0.91399340,-0.96075367,-0.99791441,-1.02510431,-1.04205171,-1.04858727,-1.04464570,-1.03026637,-1.00559296,-0.97087200,-0.92645041,-0.87277203,-0.81037320,-0.73987739,-0.66198896,-0.57748617,-0.48721332,-0.39207240,-0.29301402,-0.19102794,-0.08927026
0.10000000,0.00520594,0.11069395,0.21748743,0.32351209,0.42630432,0.52483706,0.61812580,0.70523843,0.78530456,0.85752418,0.92117570,0.97562314,1.02032247,1.05482709,1.07879221,1.09197840,1.09425391,1.08559599,1.06609115,1.03593429,0.99542671,0.94497316,0.88507774,0.81633893,0.73944352,0.65515984,0.56433002,0.46786160,0.36671846,0.26191119,0.15448699,0.04551921,-0.06390338,-0.17268748,-0.27974613,-0.38400966,-0.48443629,-0.58002259,-0.66981349,-0.75291185,-0.82848735,-0.89578489,-0.95413203,-1.00294581,-1.04173848,-1.07012245,-1.08781410,-1.09463668,-1.09052201,-1.07551121,-1.04975425,-1.01350849,-0.96713609,-0.91110039,-0.84596128,-0.77236959,-0.69106065,-0.60284686,-0.50860962,-0.40929052,-0.30588193,-0.20073948,-0.09558493
0.15000000,0.00772529,0.11728105,0.22656164,0.33631500,0.44317522,0.54560737,0.64258799,0.73314809,0.81638281,0.89146051,0.95763102,1.01423321,1.06070151,1.09657163,1.12148518,1.13519321,1.13755876,1.12855821,1.10828148,1.07693116,1.03482050,0.98237026,0.92010450,0.84864536,0.76870684,0.68108765,0.58666326,0.48637712,0.38123126,0.27227627,0.16060078,0.04732062,-0.06643235,-0.17952154,-0.29081702,-0.39920676,-0.50360775,-0.60297685,-0.69632122,-0.78270817,-0.86127456,-0.93123538,-0.99189160,-1.04263717,-1.08296505,-1.11247231,-1.13086411,-1.13795669,-1.13367918,-1.11807432,-1.09129804,-1.05361787,-1.00541029,-0.94715699,-0.87944001,-0.80293595,-0.71840922,-0.62670439,-0.52873773,-0.42548810,-0.31841792,-0.21075857,-0.10157217
0.20000000,0.00972551,0.12386110,0.23573579,0.34846197,0.45894110,0.56501725,0.66544794,0.75922970,0.84542548,0.92317406,0.99169858,1.05031437,1.09843578,1.13558197,1.16138181,1.17557750,1.17802721,1.16870647,1.14770839,1.11524279,1.07163406,1.01731791,0.95283705,0.87883577,0.79605344,0.70531722,0.60753370,0.50367990,0.39479350,0.28196245,0.16631413,0.04900405,-0.06879566,-0.18590799,-0.30116279,-0.41340846,-0.52152350,-0.62442765,-0.72109272,-0.81055287,-0.89191424,-0.96436391,-1.02717796,-1.07972880,-1.12149134,-1.15204831,-1.17109440,-1.17843929,-1.17400961,-1.15784962,-1.13012077,-1.09110013,-1.04117758,-0.98085193,-0.91072593,-0.83150025,-0.74396650,-0.64899929,-0.54754748,-0.44079445,-0.33077690,-0.22052029,-0.10690179
0.25000000,0.01107089,0.12993600,0.24492998,0.36013301,0.47363021,0.58301832,0.68664867,0.78341825,0.87236017,0.95258576,1.02329343,1.08377669,1.13343121,1.17176086,1.19838266,1.21303062,1.21555837,1.20594067,1.18427361,1.15077368,1.10577560,1.04972897,0.98319380,0.90683489,0.82141517,0.72778815,0.62688931,0.51972680,0.40737135,0.29094558,0.17161278,0.05056528,-0.07098745,-0.19183090,-0.31075763,-0.42657938,-0.53813889,-0.64432149,-0.74406625,-0.83637654,-0.92033004,-0.99508790,-1.05990317,-1.11412824,-1.15722130,-1.18875180,-1.20840468,-1.21598358,-1.21141277,-1.19473793,-1.16612566,-1.12586185,-1.07434880,-1.01210121,-0.93974105,-0.85799129,-0.76766878,-0.66967597,-0.56505459,-0.45536759,-0.34288069,-0.22955189,-0.11140595
0.30000000,0.01178200,0.13517819,0.25388530,0.37142177,0.48733486,0.59959116,0.70613732,0.80565344,0.89711974,0.97962231,1.05233682,1.11453673,1.16560056,1.20501809,1.23239548,1.24745918,1.25005868,1.24016801,1.21788599,1.18343525,1.13716002,1.07952267,1.01109908,0.93257292,0.84472880,0.74844443,0.64468185,0.53447783,0.41893348,0.29920328,0.17648354,0.05200044,-0.07300223,-0.19727549,-0.31957764,-0.43868667,-0.55341249,-0.66260880,-0.76518454,-0.86011481,-0.94645109,-1.02333075,-1.08998563,-1.14574973,-1.19006587,-1.22249127,-1.24270195,-1.25049595,-1.24579542,-1.22864731,-1.19922296,-1.15781637,-1.10484126,-1.04082695,-0.96641303,-0.88234304,-0.78945696,-0.68870650,-0.58133530,-0.46928710,-0.35448580,-0.23754213,-0.11506866
0.35000000,0.01198964,0.13945152,0.26226693,0.38228180,0.50016069,0.61476204,0.72387484,0.82587984,0.91964245,1.00421630,1.07875635,1.14251783,1.19486364,1.23527077,1.26333548,1.27877737,1.28144213,1.27130315,1.24846172,1.21314608,1.16570909,1.10662471,1.03648331,0.95598571,0.86593621,0.76723457,0.66086697,0.54789621,0.42945105,0.30671495,0.18091427,0.05330594,-0.07483500,-0.20222821,-0.32760082,-0.44970016,-0.56730624,-0.67924398,-0.78439494,-0.88170849,-0.97021230,-1.04902207,-1.11735035,-1.17451444,-1.21994317,-1.25318263,-1.27390071,-1.28189038,-1.27707184,-1.25949321,-1.22933015,-1.18688402,-1.13257895,-1.06695751,-0.99067539,-0.90449477,-0.80928558,-0.70610628,-0.59647970,-0.48250391,-0.36527719,-0.24435905,-0.11798659
0.40000000,0.01187793,0.14278604,0.26976228,0.39253374,0.51216620,0.62859516,0.73984947,0.84405060,0.93987217,1.02630642,1.10248616,1.16765022,1.22114750,1.26244349,1.29112555,1.30690712,1.30963050,1.29926848,1.27592461,1.23983211,1.19135163,1.13096755,1.05928322,0.97701488,0.88498454,0.78411171,0.67540431,0.55994849,0.43889784,0.31346188,0.18489390,0.05447853,-0.07648117,-0.20667670,-0.33480718,-0.45959238,-0.57978549,-0.69418557,-0.80164957,-0.90110376,-0.99155442,-1.07209780,-1.14192913,-1.20035068,-1.24677872,-1.28074936,-1.30192318,-1.31008861,-1.30516407,-1.28719876,-1.25637219,-1.21299236,-1.15749271,-1.09042778,-1.01246765,-0.92439460,-0.82713535,-0.72192705,-0.61053586,-0.49484643,-0.37495832,-0.25002521,-0.12031666
0.45000000,0.01163144,0.14532406,0.27615106,0.40191626,0.52332070,0.64116236,0.75408353,0.86013530,0.95775982,1.04583762,1.12346710,1.18987127,1.24438664,1.28646851,1.31569641,1.33177830,1.33455351,1.32399430,1.30020618,1.26342683,1.21402373,1.15249051,1.07944198,0.99560803,0.90182629,0.79903381,0.68825764,0.57060462,0.44725032,0.31942723,0.18841254,0.05551529,-0.07793665,-0.21060987,-0.34117875,-0.46833869,-0.59081913,-0.70739631,-0.81690542,-0.91825228,-1.01042427,-1.09250043,-1.16366069,-1.22319403,-1.27050563,-1.30512275,-1.32669952,-1.33502034,-1.33000208,-1.31169489,-1.28028167,-1.23607629,-1.17952046,-1.11117924,-1.03173673,-0.94200672,-0.84301963,-0.73622907,-0.62347061,-0.50606716,-0.38331621,-0.25466689,-0.12222527
