time,x=0.000000,x=0.100000,x=0.200000,x=0.300000,x=0.400000,x=0.500000,x=0.600000,x=0.700000,x=0.800000,x=0.900000,x=1.000000,x=1.100000,x=1.200000,x=1.300000,x=1.400000,x=1.500000,x=1.600000,x=1.700000,x=1.800000,x=1.900000,x=2.000000,x=2.100000,x=2.200000,x=2.300000,x=2.400000,x=2.500000,x=2.600000,x=2.700000,x=2.800000,x=2.900000,x=3.000000,x=3.100000,x=3.200000,x=3.300000,x=3.400000,x=3.500000,x=3.600000,x=3.700000,x=3.800000,x=3.900000,x=4.000000,x=4.100000,x=4.200000,x=4.300000,x=4.400000,x=4.500000,x=4.600000,x=4.700000,x=4.800000,x=4.900000,x=5.000000,x=5.100000,x=5.200000,x=5.300000,x=5.400000,x=5.500000,x=5.600000,x=5.700000,x=5.800000,x=5.900000,x=6.000000,x=6.100000,x=6.200000
0.00000000,1.00000000,0.99500417,0.98006658,0.95533649,0.92106099,0.87758256,0.82533561,0.76484219,0.69670671,0.62160997,0.54030231,0.45359612,0.36235775,0.26749883,0.16996714,0.07073720,-0.02919952,-0.12884449,-0.22720209,-0.32328957,-0.41614684,-0.50484610,-0.58850112,-0.66627602,-0.73739372,-0.80114362,-0.85688875,-0.90407214,-0.94222234,-0.97095817,-0.98999250,-0.99913515,-0.99829478,-0.98747977,-0.96679819,-0.93645669,-0.89675842,-0.84810003,-0.79096771,-0.72593230,-0.65364362,-0.57482395,-0.49026082,-0.40079917,-0.30733287,-0.21079580,-0.11215253,-0.01238866,0.08749898,0.18651237,0.28366219,0.37797774,0.46851667,0.55437434,0.63469288,0.70866977,0.77556588,0.83471278,0.88551952,0.92747843,0.96017029,0.98326844,0.99654210
0.05000000,0.95321258,0.94409411,0.92992082,0.90645606,0.87393429,0.83268046,0.78310677,0.72570853,0.66105925,0.58980488,0.51265738,0.43038757,0.34381748,0.25381207,0.16127066,0.06711789,-0.02770551,-0.12225208,-0.21557715,-0.30674824,-0.39485441,-0.47901532,-0.55839007,-0.63218556,-0.69966447,-0.76015257,-0.81304547,-0.85781469,-0.89401291,-0.92127844,-0.93933887,-0.94801373,-0.94721636,-0.93695471,-0.91733132,-0.88854226,-0.85087517,-0.80470643,-0.75049732,-0.68878949,-0.62019951,-0.54541270,-0.46517630,-0.38029202,-0.29160798,-0.20001029,-0.10641417,-0.01175479,0.08302204,0.17696934,0.26914842,0.35863826,0.44454470,0.52600940,0.60221839,0.67241021,0.73588353,0.79200415,0.84021132,0.88002338,0.91104253,0.93295885,0.94977450
0.10000000,0.90315243,0.89199710,0.87745678,0.85531585,0.82462889,0.78570251,0.73892565,0.68476569,0.62376377,0.55652942,0.48373440,0.40610608,0.32442007,0.23949257,0.15217213,0.06333125,-0.02614243,-0.11535489,-0.20341477,-0.28944220,-0.37257761,-0.45199035,-0.52688695,-0.59651908,-0.66019098,-0.71726647,-0.76717527,-0.80941871,-0.84357471,-0.86930199,-0.88634349,-0.89452893,-0.89377654,-0.88409383,-0.86557755,-0.83841270,-0.80287071,-0.75930670,-0.70815595,-0.64992954,-0.58520925,-0.51464174,-0.43893210,-0.35883680,-0.27515611,-0.18872616,-0.10041052,-0.01109161,0.07833812,0.16698513,0.25396367,0.33840470,0.41946449,0.49633314,0.56824259,0.63447434,0.69436664,0.74732106,0.79280849,0.83037444,0.85964356,0.88138533,0.89972595
0.15000000,0.84975998,0.83850360,0.82330217,0.80204337,0.77326772,0.73676583,0.69290242,0.64211575,0.58491328,0.52186655,0.45360550,0.38081217,0.30421390,0.22457602,0.14269425,0.05938672,-0.02451417,-0.10817013,-0.19074529,-0.27141458,-0.34937199,-0.42383859,-0.49407034,-0.55936549,-0.61907166,-0.67259226,-0.71939254,-0.75900489,-0.79103352,-0.81515840,-0.83113848,-0.83881411,-0.83810858,-0.82902895,-0.81166593,-0.78619302,-0.75286473,-0.71201406,-0.66404918,-0.60944934,-0.54876009,-0.48258780,-0.41159366,-0.33648701,-0.25801829,-0.17697154,-0.09415655,-0.01040078,0.07345891,0.15658463,0.23814580,0.31732750,0.39333857,0.46541953,0.53285017,0.59495675,0.65111872,0.70077493,0.74342922,0.77865541,0.80656489,0.82838594,0.84637532
0.20000000,0.79321655,0.78330139,0.76778651,0.74695037,0.71997885,0.68599244,0.64515183,0.59786507,0.54460464,0.48590271,0.42234579,0.35456893,0.28324934,0.20909961,0.13286063,0.05529415,-0.02282481,-0.10071571,-0.17760029,-0.25271035,-0.32529542,-0.39463024,-0.46002204,-0.52081745,-0.57640903,-0.62624132,-0.66981642,-0.70669893,-0.73652034,-0.75898268,-0.77386152,-0.78100818,-0.78035128,-0.77189736,-0.75573089,-0.73201342,-0.70098191,-0.66294641,-0.61828698,-0.56744983,-0.51094291,-0.44933081,-0.38322915,-0.31329839,-0.24023726,-0.16477575,-0.08766786,-0.00968402,0.06839657,0.14579378,0.22173426,0.29545924,0.36623209,0.43334567,0.49612941,0.55395598,0.60624761,0.65248181,0.69219664,0.72516087,0.75212145,0.77369554,0.78992877
0.25000000,0.73387545,0.72609885,0.71097114,0.69038212,0.66496317,0.63350895,0.59579295,0.55212398,0.50293837,0.44872756,0.39003322,0.32744179,0.26157867,0.19310195,0.12269581,0.05106374,-0.02107854,-0.09301021,-0.16401256,-0.23337615,-0.30040791,-0.36443811,-0.42482696,-0.48097107,-0.53230949,-0.57832924,-0.61857052,-0.65263124,-0.68017109,-0.70091490,-0.71465539,-0.72125529,-0.72064864,-0.71284151,-0.69791190,-0.67600899,-0.64735161,-0.61222612,-0.57098346,-0.52403573,-0.47185200,-0.41495368,-0.35390929,-0.28932875,-0.22185733,-0.15216919,-0.08096062,-0.00894312,0.06316373,0.13463948,0.20476995,0.27285442,0.33821263,0.40019153,0.45817184,0.51157426,0.55986519,0.60256214,0.63930160,0.67021777,0.69637960,0.71705915,0.73074913
0.30000000,0.67217710,0.66671519,0.65273922,0.63260332,0.60848743,0.57947161,0.54494885,0.50500652,0.46001834,0.41043380,0.35674835,0.29949838,0.23925593,0.17662291,0.11222513,0.04670604,-0.01927973,-0.08507286,-0.15001597,-0.21346017,-0.27477154,-0.33333749,-0.38857284,-0.43992570,-0.48688297,-0.52897546,-0.56578261,-0.59693664,-0.62212628,-0.64109984,-0.65366774,-0.65970441,-0.65914954,-0.65200865,-0.63835311,-0.61831936,-0.59210757,-0.55997963,-0.52225656,-0.47931528,-0.43158484,-0.37954214,-0.32370719,-0.26463785,-0.20292435,-0.13918329,-0.07405156,-0.00817993,0.05777343,0.12314954,0.18729518,0.24956943,0.30935006,0.36603977,0.41907213,0.46791726,0.51208711,0.55116391,0.58499660,0.61408000,0.63924039,0.65831677,0.66927298
0.35000000,0.60856964,0.60512511,0.59290833,0.57374343,0.55083259,0.52408263,0.49275583,0.45663018,0.41595158,0.37111692,0.32257418,0.27080839,0.21633677,0.15970359,0.10147470,0.04223190,-0.01743286,-0.07692343,-0.13564541,-0.19301207,-0.24845022,-0.30140593,-0.35135009,-0.39778368,-0.44024275,-0.47830306,-0.51158432,-0.53975400,-0.56253064,-0.57968665,-0.59105063,-0.59650903,-0.59600730,-0.58955047,-0.57720304,-0.55908839,-0.53538752,-0.50633723,-0.47222779,-0.43340000,-0.39024182,-0.34318448,-0.29269815,-0.23928727,-0.18348552,-0.12585044,-0.06695790,-0.00739635,0.05223911,0.11135262,0.16935352,0.22566230,0.27971634,0.33097554,0.37892774,0.42309383,0.46304135,0.49847798,0.52954808,0.55687725,0.58054364,0.59744747,0.60593544
0.40000000,0.54345027,0.54145925,0.53133225,0.51380175,0.49223264,0.46758199,0.43937653,0.40711916,0.37084795,0.33087493,0.28759592,0.24144334,0.19287834,0.14238616,0.09047131,0.03765250,-0.01554253,-0.06858226,-0.12093673,-0.17208285,-0.22150957,-0.26872304,-0.31325152,-0.35465009,-0.39250512,-0.42643837,-0.45611078,-0.48122589,-0.50153274,-0.51682845,-0.52696018,-0.53182670,-0.53137938,-0.52562269,-0.51461415,-0.49846376,-0.47733289,-0.45143266,-0.42102187,-0.38640436,-0.34792603,-0.30597134,-0.26095948,-0.21334021,-0.16358930,-0.11220387,-0.05969734,-0.00659433,0.04657458,0.09927812,0.15098971,0.20119266,0.24938535,0.29508628,0.33783879,0.37721905,0.41288036,0.44473069,0.47317987,0.49861878,0.52016211,0.53457283,0.54111654
0.45000000,0.47713400,0.47597117,0.46796989,0.45269595,0.43283209,0.41021682,0.38500618,0.35661176,0.32482127,0.28980819,0.25190077,0.21147645,0.16893912,0.12471381,0.07924241,0.03297923,-0.01361346,-0.06007013,-0.10592659,-0.15072468,-0.19401677,-0.23537031,-0.27437211,-0.31063248,-0.34378911,-0.37351071,-0.39950031,-0.42149824,-0.43928470,-0.45268197,-0.46155619,-0.46581870,-0.46542690,-0.46038470,-0.45074250,-0.43659662,-0.41808842,-0.39540282,-0.36876648,-0.33844555,-0.30474298,-0.26799552,-0.22857034,-0.18686136,-0.14328532,-0.09827762,-0.05228797,-0.00577587,0.04079394,0.08695615,0.13224953,0.17622150,0.21843274,0.25846146,0.29590897,0.33042111,0.36178710,0.39015568,0.41603343,0.43923744,0.45806523,0.46992904,0.47511451
